,Year,CouncilArea,Yearly Incidents Recorded
0,2018,Banyule,7386
1,2018,Brimbank,13829
2,2018,Darebin,11869
3,2018,Hobsons Bay,4929
4,2018,Hume,15707
5,2018,Maribyrnong,6734
6,2018,Melbourne,27165
7,2018,Melton,8093
8,2018,Merri-bek,11213
9,2018,Moonee Valley,6959
10,2018,Nillumbik,1889
11,2018,Whittlesea,11721
12,2018,Wyndham,11138
13,2018,Yarra,10813
14,2018,Boroondara,5975
15,2018,Knox,8717
16,2018,Manningham,3761
17,2018,Maroondah,6178
18,2018,Mitchell,3066
19,2018,Monash,8481
20,2018,Whitehorse,6525
21,2018,Yarra Ranges,5745
22,2018,Bayside,3955
23,2018,Cardinia,4502
24,2018,Casey,15586
25,2018,Frankston,11126
26,2018,Glen Eira,5392
27,2018,Greater Dandenong,14082
28,2018,Kingston,8024
29,2018,Port Phillip,9951
30,2018,Stonnington,8278
31,2018,Macedon Ranges,1552
32,2018,Moorabool,1862
33,2017,Banyule,7391
34,2017,Brimbank,14744
35,2017,Darebin,12872
36,2017,Hobsons Bay,5306
37,2017,Hume,16673
38,2017,Maribyrnong,7189
39,2017,Melbourne,27509
40,2017,Melton,8923
41,2017,Merri-bek,11641
42,2017,Moonee Valley,7585
43,2017,Nillumbik,2151
44,2017,Whittlesea,12423
45,2017,Wyndham,11962
46,2017,Yarra,11076
47,2017,Boroondara,6793
48,2017,Knox,8910
49,2017,Manningham,3898
50,2017,Maroondah,6820
51,2017,Mitchell,3100
52,2017,Monash,8739
53,2017,Whitehorse,6419
54,2017,Yarra Ranges,6260
55,2017,Bayside,4052
56,2017,Cardinia,5137
57,2017,Casey,17526
58,2017,Frankston,12058
59,2017,Glen Eira,5707
60,2017,Greater Dandenong,15109
61,2017,Kingston,8377
62,2017,Port Phillip,10310
63,2017,Stonnington,8842
64,2017,Macedon Ranges,1637
65,2017,Moorabool,1902
66,2016,Banyule,7061
67,2016,Brimbank,14659
68,2016,Darebin,11612
69,2016,Hobsons Bay,5500
70,2016,Hume,15069
71,2016,Maribyrnong,6992
72,2016,Melbourne,25184
73,2016,Melton,8470
74,2016,Merri-bek,10959
75,2016,Moonee Valley,6921
76,2016,Nillumbik,1982
77,2016,Whittlesea,10821
78,2016,Wyndham,11464
79,2016,Yarra,10211
80,2016,Boroondara,6023
81,2016,Knox,7493
82,2016,Manningham,3339
83,2016,Maroondah,5950
84,2016,Mitchell,2784
85,2016,Monash,7634
86,2016,Whitehorse,5789
87,2016,Yarra Ranges,5616
88,2016,Bayside,3710
89,2016,Cardinia,4702
90,2016,Casey,15214
91,2016,Frankston,10984
92,2016,Glen Eira,5024
93,2016,Greater Dandenong,13587
94,2016,Kingston,8084
95,2016,Port Phillip,9669
96,2016,Stonnington,7852
97,2016,Macedon Ranges,1568
98,2016,Moorabool,1628
